PATH,LEVEL,ENTITY NAME,ENTITY DESCRIPTION,DEFINITION NAME,LAYER,ENTITY VOLUME,X,Y,Z,LENX,LENY,LENZ,MATERIAL,
"Model","1","","","-","Layer0","","","","","","","","",
"Model/Component#2","2","","","Component#2","Layer0","","-94.418252","102.662036","-181.64954","81.361773","79.931382","205.289826","",
"Model/Component#2/Component#5","3","","","Component#5","Layer0","0.0356978","16.078467","43.591853","108.052157","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#5","3","","","Component#5","Layer0","0.0356978","8.229186","38.764646","107.997695","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#5","3","","","Component#5","Layer0","0.0356978","20.668717","35.659937","107.93878","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#5","3","","","Component#5","Layer0","0.0356978","12.878794","30.767123","107.883351","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#8","3","","","Component#8","Layer0","","0.656464","0","0","79.931382","79.931382","198.596913","Material6",
"Model/Component#2/Component#8/Component#6","4","","","Component#6","Layer0","","0","0","0","79.931382","79.931382","108.324574","",
"Model/Component#2/Component#8/Component#26","4","","","Component#26","Layer0","","26.263116","26.263116","52.812666","35.335644","30.142395","145.784247","",
"Model/Component#2/Component#8/Component#26/Component#5","5","","","Component#5","Layer0","0.0356978","22.08988","11.708065","58.162915","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","15.235926","1.459875","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","21.275227","23.443713","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#5","5","","","Component#5","Layer0","0.0356978","21.671621","9.687212","60.733017","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#8/Component#26/Component#5","5","","","Component#5","Layer0","0.0356978","22.610779","14.224826","60.226598","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","18.496003","25.071739","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","12.015035","1.480174","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","6.129922","3.961435","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","8.909146","2.33341","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","23.538387","21.151845","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","21.151845","3.866762","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#5","5","","","Component#5","Layer0","0.0356978","21.708873","9.867197","59.540647","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#8/Component#26/Component#5","5","","","Component#5","Layer0","0.0356978","22.192519","12.203973","62.796699","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#8/Component#26/Component#5","5","","","Component#5","Layer0","0.0356978","21.861967","10.606881","58.599924","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","2.33341","18.496003","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","15.390114","25.924974","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","12.169223","25.945274","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","9.052827","25.131253","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","3.961435","21.275227","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","1.480174","15.390114","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","2.273896","9.052827","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","25.945274","15.235926","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#5","5","","","Component#5","Layer0","0.0356978","22.331545","12.875688","58.346715","0.506419","0.506419","0.19685","",
"Model/Component#2/Component#8/Component#26/Component#7","5","","","Component#7","Layer0","","6.253303","23.538387","35.334007","3.330057","1.416866","0.529528","",
"Model/Component#2/Component#8/Component#26/Component#5","5","","","Component#5","Layer0","0.0356978","22.573527","14.044841","61.418967","0.506419","0.506419","0.19685","",
